source,target
4182,8944
396,5976
257,2434
945,6972
1554,6299
52,3722
2288,8738
5436,5942
3376,6979
4529,6958
456,4714
4198,5101
3334,7507
1028,9077
713,3589
1475,1660
7326,9008
4934,5142
8624,9311
632,3600
647,8604
224,2085
4613,6255
1853,3683
442,3476
3588,6461
1505,7322
1136,5735
6866,8592
3451,6348
9051,9913
3796,9766
3032,8616
4713,4742
4057,9541
7333,8243
3043,8216
6945,9824
6212,8741
4125,5511
3913,7318
3915,5701
425,7979
3517,9038
2082,3519
6063,6174
58,4021
973,5340
431,7235
971,8677
5633,9973
4396,6913
2104,4217
4566,7324
1161,1604
3506,7344
7360,7972
1989,2015
1470,9529
3072,4608
1818,2133
7154,7315
2882,4484
1101,2492
1058,1856
2190,7374
4072,6974
3387,6871
4882,6025
8027,8408
7688,8942
320,5310
2106,2950
5466,9459
581,7337
7826,9815
4633,6452
5658,9629
7105,7803
3495,9787
608,3498
4441,9665
3519,7929
983,2621
41,9278
5053,6257
7525,7608
7079,9773
3419,6944
347,9735
3489,3741
692,2041
373,9643
4034,8910
5949,9404
7038,7116
2437,3063
4754,6755
3009,6672
4562,5996
3736,3968
3354,3674
7096,8225
3044,9110
4348,9450
5070,8654
2812,8952
4708,9204
1843,2674
1366,7970
1816,8206
1222,7467
5055,7218
1263,5024
7926,8086
2619,9469
4819,6160
1228,5188
5195,5693
1141,8417
3133,8377
238,5388
5109,5360
2097,8202
227,1257
3372,3640
1536,3439
4538,7988
997,9577
5344,9549
1015,5430
7141,9041
792,7078
188,3931
5666,6567
198,677
1135,7417
2904,5642
1298,6657
3151,5519
2292,8269
8751,9838
191,9305
7217,7723
4775,8466
1972,3568
6135,9647
1076,5682
735,5389
625,3531
850,6093
2407,6125
990,3629
1119,3285
4004,6495
7663,9099
1815,2988
1441,6719
5818,9566
5002,6536
1433,8521
1206,9296
2345,3153
2651,6643
2255,6643
836,5821
8050,8986
2707,7706
4663,8009
2999,4882
4659,6547
3396,8682
7109,7385
7031,9946
393,6914
1422,8547
2714,5652
3848,5581
7285,9304
1775,9574
5385,5900
3315,8501
3060,3256
942,4877
4166,7553
3638,9154
8386,8504
246,8557
1108,1382
178,8049
3247,7404
5511,5608
3341,7039
138,1453
5360,6378
2562,8240
572,7572
1341,2650
5300,5546
5436,6373
3538,3796
6753,6918
5889,6318
3072,7938
4594,5505
7973,9250
619,1352
1869,7091
4753,5003
145,7885
1019,4477
3693,5023
2529,7137
4540,9591
366,6541
3585,9627
1895,5279
2239,5089
2633,9180
2039,8441
3339,9571
1376,1681
7131,9321
8404,9594
1379,9334
2798,7712
4222,4936
5333,7133
3063,8360
1494,6813
4150,5999
1757,3251
762,8584
6121,9054
2392,4930
7814,9886
3793,7832
2346,3242
1028,9642
3094,7831
43,9247
5215,8201
3647,9700
3113,9012
2940,8303
4934,9090
777,2045
7786,9908
303,6326
4038,5542
1808,3724
3666,3684
7760,9626
797,6080
5258,6154
69,5341
2493,7964
2429,9669
4268,9387
1298,7759
1309,7359
1421,7600
1104,7893
562,3180
5470,7915
2140,9916
2255,6456
1971,6697
6663,8424
782,2365
5971,7150
458,7903
6884,7080
6158,6976
7080,8712
5280,8922
1765,5316
1004,8601
1506,3335
3180,4706
463,6153
1191,2950
1225,1780
39,3381
6929,9832
5084,6135
139,2272
7507,8533
4492,5442
3203,8608
789,2539
1451,5856
2696,4081
5003,9337
5693,8286
4502,5379
6907,7198
1561,2237
2660,7807
196,2375
789,9305
1574,4916
5679,9327
796,8032
2172,5774
343,5054
3877,6458
3228,8264
589,2077
5566,6417
8,5707
77,5312
127,1457
1584,4291
3060,9619
6626,9026
1213,2843
3456,6586
6054,6356
4908,5104
7093,9431
7483,9586
2227,7551
1857,2356
8314,9514
3128,8972
7262,7897
9752,9854
1192,9321
5027,5735
7527,9134
494,877
4171,5750
4327,6263
6501,6644
1261,2079
20,3973
7664,8442
1886,9486
2068,8968
7293,9438
801,5477
1957,5165
6391,8354
513,2566
5466,8764
7028,9140
5092,7799
5312,5853
370,7361
2644,6253
2527,9640
3862,5129
6040,7723
4747,6983
6376,9335
7250,9899
8363,8951
3363,4627
7067,8694
4644,5515
1202,4077
4180,8040
3712,5720
3681,4155
70,6668
7064,8581
4118,4129
5281,8960
3908,4319
546,3399
4515,4731
3226,5453
2768,4575
4108,6070
1372,8810
1601,6418
665,2532
1679,9492
4143,6064
1925,6515
7074,7929
2516,7922
1496,9226
6389,8011
4316,4679
1217,7367
259,4631
1409,4504
3126,6511
5730,9479
4135,4459
1485,8471
2477,5284
1097,3636
7968,9845
253,2722
1027,8532
5325,6168
6169,8967
3679,3812
2220,8287
1182,8820
974,3421
3220,6681
4059,4972
2896,8277
3081,9720
1593,9293
404,4180
7275,9635
5420,7694
7964,8167
268,1286
5116,8222
3430,9500
5018,5435
5073,5142
5327,6190
2656,2909
822,8261
1634,8139
2275,9633
943,9719
3512,4587
6276,9722
244,1050
961,6326
6807,6914
5055,5852
55,7944
3446,7350
288,2261
3018,5368
2596,8119
2603,6846
2541,5968
5264,6376
732,4372
747,9376
866,5126
2123,8838
3236,3726
3952,7868
2044,2129
540,8524
6947,9903
2525,3341
4859,6448
7876,9585
4189,5687
5001,8783
3855,4121
1004,3905
797,3612
4102,8162
2362,5979
7121,8928
1056,3314
1646,2591
23,8355
4856,7089
150,7184
2163,4049
284,3966
4353,6468
2938,4045
1231,5008
6339,8111
3219,9922
8052,9410
2673,4501
3103,9747
3812,7992
2101,7493
886,8356
8747,8888
5576,9256
440,4105
415,9121
7156,7178
549,3459
755,5779
3220,5205
2824,6925
7007,7994
3898,6022
5455,6054
436,7904
4183,8635
2779,8845
365,5220
6548,7645
2412,4887
7873,8108
5146,6238
3076,4867
1467,5611
3886,7890
3054,7737
375,431
2185,2629
459,5794
3701,9241
3647,9944
4113,4267
9720,9757
234,9998
6237,8318
633,7263
163,7314
3200,5468
2348,8635
7743,9324
702,2115
5702,8159
8807,9423
520,8490
933,7905
2676,7161
2070,7351
4131,9360
2271,2911
3551,4355
746,5046
2693,9959
2452,8584
3122,9318
739,7258
4013,5325
6364,8601
8809,9095
321,3712
4859,4972
4934,8529
510,7556
4340,7790
3765,3883
296,7038
707,9790
6908,7159
8748,8977
1382,2008
75,6288
5697,7360
955,7798
3090,6346
4234,6963
894,9774
586,9621
2783,9047
1842,7069
5572,9351
1136,3645
4105,5048
206,705
2086,4396
721,3780
76,4796
4902,5557
1597,5171
1398,9657
5080,7549
261,7178
4139,4228
887,7640
3115,8631
995,7173
2889,6598
1681,4468
6352,7570
3702,9330
8908,9558
7516,8839
1334,3606
229,9333
5007,8360
1279,1455
5299,9700
3201,8001
4703,6636
2779,4336
3661,9679
4380,8612
7089,9152
1474,5464
1844,4243
4165,5425
5610,9942
412,3159
3097,5557
1090,5474
6167,7766
675,2980
1136,4129
4601,9900
7408,9255
197,9771
8087,8789
1261,5706
1311,5069
5982,6673
1410,9212
3129,5630
6905,8819
705,2980
1307,5300
3640,5553
362,6024
1360,5311
1260,1697
6982,9389
1719,2211
5105,6935
1435,2452
4874,9254
5177,6811
753,6030
2198,3377
5206,8680
402,2016
5692,6853
6812,8604
5776,5800
1946,9730
3467,7853
4962,7007
1660,6892
8566,9904
2945,8680
584,7133
8693,8733
3710,3824
4759,7587
700,1077
4323,8188
1891,7175
4939,9625
5949,7798
4700,4913
8753,9888
3247,9368
4797,8229
2235,6426
3607,6678
659,8781
62,389
8114,8625
4326,8994
2227,8413
3137,4662
4100,6961
5132,8865
9046,9736
66,8617
8323,9149
123,2735
1038,3300
4661,8691
2762,6478
4105,8244
4948,9687
3549,3825
8153,9869
5164,7999
704,5117
6504,7804
5485,8579
4392,6207
410,4081
2301,2454
2249,3984
4203,7624
7186,7959
1365,1951
8902,9741
7028,7558
712,2325
4621,5104
3352,8922
4472,8953
604,6175
1846,7135
1576,7274
781,1149
1055,5293
698,6749
6558,9679
2133,5852
2285,6623
2930,3163
3138,6310
278,6540
930,5005
8397,9582
219,6899
1153,4296
1744,8147
3836,6059
1069,2316
419,2988
4106,7640
4155,5058
2407,5458
7736,7971
1867,9651
816,2809
2708,8015
8446,9824
431,8825
7136,9669
6728,8154
3123,7476
1389,3610
738,3091
6438,7826
2247,5334
3702,7533
1888,5401
3108,4350
1595,3836
4160,5378
1955,3590
2302,9555
