source,target
0,86
0,3465
0,550
0,2485
0,2274
0,4070
0,4988
1,744
1,283
1,1201
1,1574
1,2059
2,1959
2,3895
2,613
2,878
2,1024
2,3264
3,4488
3,1338
3,3339
3,2340
4,4906
4,1371
4,427
4,2062
4,4132
4,2352
4,1725
4,1123
4,4557
4,3708
5,3739
5,2717
5,4144
5,408
5,4941
5,3265
5,677
5,387
5,3433
5,3799
6,4587
6,3773
6,890
6,1080
6,4691
6,1789
7,1219
7,1094
7,408
8,779
8,342
8,4000
8,1832
8,3045
8,1032
8,1381
8,1625
8,3992
9,4215
9,3534
9,1837
9,442
9,409
9,1222
10,885
10,1758
10,1108
10,261
11,3082
11,3803
11,2846
11,938
11,3940
11,1427
11,4168
12,2890
12,1585
12,793
12,3661
12,4420
12,2693
12,1636
12,1143
13,4259
13,2546
13,4107
14,1455
14,1380
15,361
15,2910
16,4987
16,3718
16,499
16,1555
16,614
16,476
17,3198
17,2796
17,4004
17,1217
17,420
17,1439
17,1377
17,4422
18,4659
18,3522
18,3081
18,3861
18,4488
19,4662
20,4767
20,1261
20,2040
20,3145
20,2649
20,2532
21,1282
21,2188
21,4168
21,1377
21,3327
21,322
22,104
22,856
22,400
22,1530
22,3556
22,168
22,3429
22,2015
22,414
22,3079
23,2271
23,2963
23,1721
23,4432
23,1035
23,1614
23,1219
24,2084
24,2580
24,970
24,3620
24,231
25,3282
25,3743
25,2639
25,2359
25,2680
25,879
25,3549
25,1750
25,2332
25,765
26,3716
26,1754
26,2549
26,545
26,99
27,3149
27,4363
27,994
27,1221
27,3834
27,461
27,39
28,1824
28,2073
28,3122
28,3031
28,4281
28,1698
28,42
29,361
29,1507
29,1626
29,4971
29,2537
30,4707
30,1797
30,4265
30,1540
30,3222
30,3643
30,1650
30,2846
31,3502
31,750
31,2635
31,4532
31,3711
32,4819
33,146
33,2547
33,4780
33,4714
33,599
33,1360
34,105
34,3396
34,3472
35,4344
35,1278
35,808
35,3903
35,4347
35,2998
35,697
35,1630
35,1323
35,3041
35,924
35,1658
35,357
36,3185
36,3934
36,216
36,240
36,4459
37,3430
37,3963
37,3858
38,475
38,3140
38,2138
38,398
38,4716
38,2677
38,2379
38,2810
39,1381
39,261
39,1979
39,2456
40,4403
40,3065
40,4335
40,4323
40,1608
40,1177
40,3507
40,3889
41,4691
41,4699
41,4476
41,2505
41,2233
41,478
41,3097
42,4508
42,749
42,3712
42,3210
42,877
42,2945
42,538
43,3674
43,746
43,2077
43,1474
43,3341
43,4548
44,1548
44,4597
44,511
45,873
45,2196
45,2554
45,4802
45,2654
45,3165
46,2089
46,3310
46,2040
46,4431
46,2249
47,4452
47,4867
47,3235
47,2942
47,4682
47,3131
47,2579
48,2881
